"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","success","stimulus","key_press","button_pressed","type","corrResp","givenResp","acc"
"","34","html-button-response","57","11847","0.0-3.0-0.54","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>प्रंकन<br><br></div>","","1","nonword","z","m","0"
"","36","html-button-response","58","11885","0.0-3.0-0.55","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>काष्ट्रमषा<br><br></div>","","1","nonword","z","m","0"
"","36","html-button-response","59","11922","0.0-3.0-0.56","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>प्रतिधाका<br><br></div>","","1","nonword","z","m","0"
"","35","html-button-response","60","11959","0.0-3.0-0.57","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>धुंध<br><br></div>","","1","word","m","m","1"
"","37","html-button-response","61","11997","0.0-3.0-0.58","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>टगुधुंध<br><br></div>","","1","nonword","z","m","0"
"","37","html-button-response","62","12035","0.0-3.0-0.59","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>भिश्ती<br><br></div>","","1","word","m","m","1"
"","35","html-button-response","63","12071","0.0-3.0-0.60","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>रोकड़िया<br><br></div>","","1","word","m","m","1"
"","36","html-button-response","64","12108","0.0-3.0-0.61","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>भूतल<br><br></div>","","1","word","m","m","1"
"","37","html-button-response","65","12146","0.0-3.0-0.62","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>उद्यम<br><br></div>","","1","word","m","m","1"
"","37","html-button-response","66","12184","0.0-3.0-0.63","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>स्वायत्तता<br><br></div>","","1","word","m","m","1"
"","35","html-button-response","67","12220","0.0-3.0-0.64","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>शत्फ<br><br></div>","","1","nonword","z","m","0"
"","37","html-button-response","68","12259","0.0-3.0-0.65","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>विरोश<br><br></div>","","1","nonword","z","m","0"
"","36","html-button-response","69","12296","0.0-3.0-0.66","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>विस्मय<br><br></div>","","1","word","m","m","1"
"","37","html-button-response","70","12335","0.0-3.0-0.67","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>सुबकना<br><br></div>","","1","word","m","m","1"
"","34","html-button-response","71","12371","0.0-3.0-0.68","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>अल्प<br><br></div>","","1","word","m","m","1"
"","36","html-button-response","72","12408","0.0-3.0-0.69","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>बंगाम<br><br></div>","","1","nonword","z","m","0"
"","37","html-button-response","73","12447","0.0-3.0-0.70","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>स्यंदन<br><br></div>","","1","word","m","m","1"
"","32","html-button-response","74","12482","0.0-3.0-0.71","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>अभ्रक<br><br></div>","","1","word","m","m","1"
"","36","html-button-response","75","12519","0.0-3.0-0.72","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>कपोल<br><br></div>","","1","word","m","m","1"
"","38","html-button-response","76","12558","0.0-3.0-0.73","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>समर्पण<br><br></div>","","1","word","m","m","1"
"","35","html-button-response","77","12595","0.0-3.0-0.74","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>पिपासा<br><br></div>","","1","word","m","m","1"
"","35","html-button-response","78","12631","0.0-3.0-0.75","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>बिरौना<br><br></div>","","1","nonword","z","m","0"
"","37","html-button-response","79","12669","0.0-3.0-0.76","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>रौवधात<br><br></div>","","1","nonword","z","m","0"
"","37","html-button-response","80","12706","0.0-3.0-0.77","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>तजुकिना<br><br></div>","","1","nonword","z","m","0"
"","38","html-button-response","81","12744","0.0-3.0-0.78","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>निष्कासित<br><br></div>","","1","word","m","m","1"
"","37","html-button-response","82","12782","0.0-3.0-0.79","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>कंदरा<br><br></div>","","1","word","m","m","1"
"","37","html-button-response","83","12820","0.0-3.0-0.80","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>कुमुलिड़ी<br><br></div>","","1","nonword","z","m","0"
"","35","html-button-response","84","12856","0.0-3.0-0.81","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>सदैव<br><br></div>","","1","word","m","m","1"
"","36","html-button-response","85","12894","0.0-3.0-0.82","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>युगल<br><br></div>","","1","word","m","m","1"
"","37","html-button-response","86","12932","0.0-3.0-0.83","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>बधिर<br><br></div>","","1","word","m","m","1"
"","35","html-button-response","87","12969","0.0-3.0-0.84","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>पोखर<br><br></div>","","1","word","m","m","1"
"","36","html-button-response","88","13006","0.0-3.0-0.85","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>शुश्रूषा<br><br></div>","","1","word","m","m","1"
"","35","html-button-response","89","13043","0.0-3.0-0.86","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>प्रयोजन<br><br></div>","","1","word","m","m","1"
"","36","html-button-response","90","13080","0.0-3.0-0.87","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>अनिऊंर<br><br></div>","","1","nonword","z","m","0"
